城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驱车制动类型,前轮胎规格,后轮胎规格,abs,esp,定速巡航,gps,倒车雷达,倒车影像系统
长沙,大众 速腾 2015款 1.6L 自动舒适型,2015,大众,4.04万公里,1.6L,自动,16.37万,8.98万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,5,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,选配
长沙,大众 速腾 2015款 1.6L 自动舒适型,2015,大众,4.04万公里,1.6L,自动,16.37万,8.98万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,5,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,选配
长沙,别克 凯越 2018款 15N CVT精英型,2018,别克,8.18万公里,1.3L,自动,10.19万,5.28万,国五,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,15,4468/1765/1469,2611,491,1090,自然吸气,3缸,107,133,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/65 R15,185/65 R15,标配,标配,-,标配,标配,-
长沙,别克 凯越 2018款 15N CVT精英型,2018,别克,8.18万公里,1.3L,自动,10.19万,5.28万,国五,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,15,4468/1765/1469,2611,491,1090,自然吸气,3缸,107,133,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/65 R15,185/65 R15,标配,标配,-,标配,标配,-
长沙,别克 凯越 2018款 15N CVT精英型,2018,别克,8.18万公里,1.3L,自动,10.19万,5.28万,国五,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,15,4468/1765/1469,2611,491,1090,自然吸气,3缸,107,133,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/65 R15,185/65 R15,标配,标配,-,标配,标配,-
长沙,别克 凯越 2018款 15N CVT精英型,2018,别克,8.18万公里,1.3L,自动,10.19万,5.28万,国五,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,15,4468/1765/1469,2611,491,1090,自然吸气,3缸,107,133,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/65 R15,185/65 R15,标配,标配,-,标配,标配,-
长沙,别克 凯越 2018款 15N CVT精英型,2018,别克,8.18万公里,1.3L,自动,10.19万,5.28万,国五,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,15,4468/1765/1469,2611,491,1090,自然吸气,3缸,107,133,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/65 R15,185/65 R15,标配,标配,-,标配,标配,-
郑州,大众 迈腾 2013款 2.0TSI 尊贵型,2013,大众,12.75万公里,2.0T,自动,29.07万,10.60万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,4865/1820/1475,2812,565,1550,涡轮增压,4缸,200,280,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,235/45 R17,235/45 R17,标配,标配,标配,标配,标配,标配
新乡,捷达VS5 2019款 280TSI 自动进取型,2019,捷达VS5,1.07万公里,1.4T,自动,10.40万,8.38万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4419/1841/1616,2630,482,1355,涡轮增压,4缸,150,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,225/55 R17,225/55 R17,标配,标配,标配,标配,标配,-
广州,奔驰GLA级 2016款 GLA 200 时尚型,2016,奔驰GLA级,4.89万公里,1.6T,自动,31.46万,17.99万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,29,4431/1804/1532,2699,-,1482,涡轮增压,4缸,156,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,235/50 R18,235/50 R18,标配,标配,标配,标配,标配,-
广州,奔驰GLA级 2016款 GLA 200 时尚型,2016,奔驰GLA级,4.89万公里,1.6T,自动,31.46万,17.99万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,29,4431/1804/1532,2699,-,1482,涡轮增压,4缸,156,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,235/50 R18,235/50 R18,标配,标配,标配,标配,标配,-
广州,奔驰GLA级 2016款 GLA 200 时尚型,2016,奔驰GLA级,4.89万公里,1.6T,自动,31.46万,17.99万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,29,4431/1804/1532,2699,-,1482,涡轮增压,4缸,156,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,235/50 R18,235/50 R18,标配,标配,标配,标配,标配,-
广州,奔驰GLA级 2016款 GLA 200 时尚型,2016,奔驰GLA级,4.89万公里,1.6T,自动,31.46万,17.99万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,29,4431/1804/1532,2699,-,1482,涡轮增压,4缸,156,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,235/50 R18,235/50 R18,标配,标配,标配,标配,标配,-
南通,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2015,哈弗H6,5.15万公里,1.5T,自动,14.85万,6.85万,国五,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,24,4649/1852/1710,2680,808-2010,1554,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
南通,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2015,哈弗H6,5.15万公里,1.5T,自动,14.85万,6.85万,国五,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,24,4649/1852/1710,2680,808-2010,1554,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
成都,大众 高尔夫 2018款 230TSI 自动豪华型,2018,大众,2.41万公里,1.4T,自动,18.01万,10.98万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,24,4259/1799/1452,2631,380,1315,涡轮增压,4缸,131,225,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,标配
成都,大众 高尔夫 2018款 230TSI 自动豪华型,2018,大众,2.41万公里,1.4T,自动,18.01万,10.98万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,24,4259/1799/1452,2631,380,1315,涡轮增压,4缸,131,225,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,标配
济宁,日产 轩逸 2020款 1.6L XL CVT悦享版,2020,日产,0.93万公里,1.6L,自动,14.10万,11.58万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4641/1815/1450,2712,560,1258,自然吸气,4缸,139,169,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,脚刹,205/60 R16,205/60 R16,标配,标配,-,标配,标配,标配
包头,本田CR-V 2013款 2.4L 四驱豪华版,2013,本田CR-V,16.81万公里,2.4L,自动,26.03万,14.10万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,37,4550/1820/1685,2620,-,1625,自然吸气,4缸,190,222,汽油,92号,多点电喷,前置四驱,电动助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,脚刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
淄博,长安 逸动 2014款 1.6L 手动尊贵型,2014,长安,3.94万公里,1.6L,手动,9.32万,3.40万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,26,4620/1820/1490,2660,510,1325,自然吸气,4缸,125,160,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
淄博,长安 逸动 2014款 1.6L 手动尊贵型,2014,长安,3.94万公里,1.6L,手动,9.32万,3.40万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,26,4620/1820/1490,2660,510,1325,自然吸气,4缸,125,160,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
郑州,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,2013,现代ix35,7.15万公里,2.0L,自动,21.36万,7.90万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4420/1820/1690,2640,465-1436,1423,自然吸气,4缸,165,199,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,标配
郑州,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,2013,现代ix35,7.15万公里,2.0L,自动,21.36万,7.90万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4420/1820/1690,2640,465-1436,1423,自然吸气,4缸,165,199,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,标配
宿迁,别克 英朗 2017款 15N 自动进取型,2017,别克,4.12万公里,1.5L,自动,13.01万,6.40万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4587/1798/1463,2640,-,1255,自然吸气,4缸,114,143,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,标配,-,标配,标配,-
重庆,福特 福克斯Active 2020款 EcoBoost 180 自动劲耀型,2020,福特,2.57万公里,1.5T,自动,16.69万,11.68万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,2,4397/1848/1504,2705,341,1422,涡轮增压,3缸,174,243,汽油,92号,混合喷射,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,215/50 R18,215/50 R18,标配,标配,标配,标配,标配,标配
保定,大众 速腾 2015款 1.6L 自动舒适型,2015,大众,6.55万公里,1.6L,自动,16.37万,7.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,21,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,选配
保定,大众 速腾 2015款 1.6L 自动舒适型,2015,大众,6.55万公里,1.6L,自动,16.37万,7.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,21,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,选配
保定,大众 速腾 2015款 1.6L 自动舒适型,2015,大众,6.55万公里,1.6L,自动,16.37万,7.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,21,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,选配
西安,大众POLO 2018款 1.5L 自动安享型,2018,大众POLO,1.4万公里,1.5L,自动,11.06万,7.80万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,3970/1682/1462,2470,250,1110,自然吸气,4缸,110,150,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,标配,标配,标配,标配,-
武汉,标致308 2014款 乐享版 经典 1.6L 自动优尚型,2014,标致308,6.92万公里,1.6L,自动,12.58万,5.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,34,4558/1805/1505,2612,565,1370,自然吸气,4缸,117,150,汽油,92号,多点电喷,前置前驱,电子液压助力,麦弗逊式独立悬架,可变形横梁式，带横向稳定杆,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,-,-,标配,标配,-
武汉,标致308 2014款 乐享版 经典 1.6L 自动优尚型,2014,标致308,6.92万公里,1.6L,自动,12.58万,5.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,34,4558/1805/1505,2612,565,1370,自然吸气,4缸,117,150,汽油,92号,多点电喷,前置前驱,电子液压助力,麦弗逊式独立悬架,可变形横梁式，带横向稳定杆,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,-,-,标配,标配,-
昆明,福特 福睿斯 2017款 1.5L 自动舒适型,2017,福特,2.64万公里,1.5L,自动,11.70万,6.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4587/1825/1490,2687,448,1300,自然吸气,4缸,113,142,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,标配,-
昆明,福特 福睿斯 2017款 1.5L 自动舒适型,2017,福特,2.64万公里,1.5L,自动,11.70万,6.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4587/1825/1490,2687,448,1300,自然吸气,4缸,113,142,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,标配,-
昆明,福特 福睿斯 2017款 1.5L 自动舒适型,2017,福特,2.64万公里,1.5L,自动,11.70万,6.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4587/1825/1490,2687,448,1300,自然吸气,4缸,113,142,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,标配,-
昆明,福特 福睿斯 2017款 1.5L 自动舒适型,2017,福特,2.64万公里,1.5L,自动,11.70万,6.36万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4587/1825/1490,2687,448,1300,自然吸气,4缸,113,142,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,标配,-
唐山,丰田 卡罗拉 2017款 1.2T CVT GL-i,2017,丰田,4.95万公里,1.2T,自动,14.09万,8.90万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4630/1775/1480,2700,426,1300,涡轮增压,4缸,116,185,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,标配,-,标配,标配,-
惠州,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,2013,现代ix35,8.56万公里,2.0L,自动,21.36万,7.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,27,4420/1820/1690,2640,465-1436,1423,自然吸气,4缸,165,199,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,标配
石家,奔驰C级 2015款 改款 C 180 L 运动型,2015,奔驰C级,9.14万公里,1.6T,自动,35.36万,20.80万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,19,4783/1810/1442,2920,-,1605,涡轮增压,4缸,156,250,汽油,95号,直喷,前置后驱,电动助力,多连杆独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/50 R17,225/50 R17,标配,标配,标配,标配,标配,-
北京,奔驰M级 2012款 ML 350 动感型(进口),2012,奔驰M级,9.17万公里,3.5L,自动,97.48万,27.88万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,19,4804/1926/1796,2915,690-2010,2130,自然吸气,6缸,306,370,汽油,95号,直喷,前置四驱,电动助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,255/50 R19,255/50 R19,标配,标配,标配,标配,标配,-
厦门,奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型,2015,奥迪A3,7.61万公里,1.4T,自动,24.74万,11.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,39,4319/1785/1441,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
厦门,奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型,2015,奥迪A3,7.61万公里,1.4T,自动,24.74万,11.98万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,39,4319/1785/1441,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
上海,斯巴鲁 森林人 2014款 2.0i 自动豪华版,2014,斯巴鲁,13.86万公里,2.0L,自动,27.66万,11.46万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4595/1810/1735,2640,1541,1540,自然吸气,4缸,150,198,汽油,92号,多点电喷,前置四驱,电动助力,麦弗逊式独立悬架,双叉横臂式独立悬架,通风盘式,盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,-
上海,别克 威朗 2016款 两厢 15S 自动领先型,2016,别克,5.88万公里,1.5L,自动,16.92万,8.33万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,14,4370/1809/1461,2662,379-1026,1280,自然吸气,4缸,118,146,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,后扭杆梁+瓦特连杆非独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
杭州,奔驰S级 2010款 S 300 L 商务型(进口),2010,奔驰S级,14.69万公里,3.0L,自动,100.95万,25.80万,国四,2次过户,非运营使用性质,公转私产权性质,到店服务看车方式,39,5230/1871/1485,3165,560,2011,自然吸气,6缸,231,300,汽油,95号,多点电喷,前置后驱,电子液压助力,AIRMATIC主动空气悬架,AIRMATIC主动空气悬架,通风盘式,通风盘式,电子驻车,235/55 R17,235/55 R17,标配,标配,标配,标配,标配,标配
嘉兴,现代 悦动 2010款 1.6L AT GLS,2010,现代,10.58万公里,1.6L,自动,13.00万,3.58万,国三,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4542/1775/1490,2650,475,1279,自然吸气,4缸,123,155,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,-,-
沈阳,现代 索纳塔八 2013款 2.0L 自动豪华版,2013,现代,9.7万公里,2.0L,自动,20.61万,6.99万,国四,3次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,4820/1835/1475,2795,523,-,自然吸气,4缸,162,194,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,脚刹,215/55 R17,215/55 R17,标配,标配,-,标配,标配,标配
沈阳,现代 索纳塔八 2013款 2.0L 自动豪华版,2013,现代,9.7万公里,2.0L,自动,20.61万,6.99万,国四,3次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,4820/1835/1475,2795,523,-,自然吸气,4缸,162,194,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,脚刹,215/55 R17,215/55 R17,标配,标配,-,标配,标配,标配
宿迁,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2013,大众,3.21万公里,1.6L,自动,13.56万,7.20万,国五,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,25,4605/1765/1460,2610,478,-,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,标配,-,标配,标配,-
宿迁,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2013,大众,3.21万公里,1.6L,自动,13.56万,7.20万,国五,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,25,4605/1765/1460,2610,478,-,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,标配,-,标配,标配,-
东莞,本田 缤智 2017款 1.8L CVT两驱精英型,2017,本田,5.32万公里,1.8L,自动,15.93万,10.00万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,26,4294/1772/1605,2610,437-1456,1256,自然吸气,4缸,136,169,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,电子驻车,215/60 R16,215/60 R16,标配,标配,-,标配,标配,标配
东莞,本田 缤智 2017款 1.8L CVT两驱精英型,2017,本田,5.32万公里,1.8L,自动,15.93万,10.00万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,26,4294/1772/1605,2610,437-1456,1256,自然吸气,4缸,136,169,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,电子驻车,215/60 R16,215/60 R16,标配,标配,-,标配,标配,标配
南京,大众 速腾 2017款 1.6L 自动时尚型,2017,大众,3.64万公里,1.6L,自动,15.61万,9.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,10,4655/1780/1453,2651,510,1330,自然吸气,4缸,110,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
宁波,宝马3系 2010款 325i 时尚型,2010,宝马3系,12.99万公里,2.5L,自动,44.29万,8.58万,国四,4次过户,非运营使用性质,私户产权性质,到店服务看车方式,16,4531/1817/1421,2760,460,1530,自然吸气,6缸,218,250,汽油,95号,多点电喷,前置后驱,电子液压助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
宁波,宝马3系 2010款 325i 时尚型,2010,宝马3系,12.99万公里,2.5L,自动,44.29万,8.58万,国四,4次过户,非运营使用性质,私户产权性质,到店服务看车方式,16,4531/1817/1421,2760,460,1530,自然吸气,6缸,218,250,汽油,95号,多点电喷,前置后驱,电子液压助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
宁波,宝马3系 2010款 325i 时尚型,2010,宝马3系,12.99万公里,2.5L,自动,44.29万,8.58万,国四,4次过户,非运营使用性质,私户产权性质,到店服务看车方式,16,4531/1817/1421,2760,460,1530,自然吸气,6缸,218,250,汽油,95号,多点电喷,前置后驱,电子液压助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
宁波,宝马3系 2010款 325i 时尚型,2010,宝马3系,12.99万公里,2.5L,自动,44.29万,8.58万,国四,4次过户,非运营使用性质,私户产权性质,到店服务看车方式,16,4531/1817/1421,2760,460,1530,自然吸气,6缸,218,250,汽油,95号,多点电喷,前置后驱,电子液压助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
佛山,宝马X1 2013款 sDrive18i 时尚型,2013,宝马X1,9.33万公里,2.0L,自动,30.94万,12.38万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,7,4477/1798/1577,2760,-,1580,自然吸气,4缸,150,200,汽油,95号,多点电喷,前置后驱,电动助力,双球节弹簧减振支柱前桥,五连杆独立悬架,通风盘式,通风盘式,手刹,225/50 R17,225/50 R17,标配,标配,-,标配,标配,-
合肥,宝马1系 2018款 118i 运动型,2018,宝马1系,1.87万公里,1.5T,自动,24.51万,15.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4456/1803/1446,2670,-,1380,涡轮增压,3缸,136,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17,标配,标配,选配,标配,标配,选配
广州,大众 高尔夫 2015款 1.4TSI 自动舒适型,2015,大众,3.76万公里,1.4T,自动,16.81万,9.28万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,4255/1799/1452,2637,380,1280,涡轮增压,4缸,131,225,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
郑州,本田 飞度 2008款 1.5L 自动豪华版,2008,本田,6.16万公里,1.5L,自动,12.40万,4.35万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,3900/1695/1525,2500,380-1323,-,自然吸气,4缸,120,145,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,175/65 R15,175/65 R15,标配,-,-,标配,-,-
赣州,现代 途胜 2015款 1.6T 双离合两驱智能型,2015,现代,8.01万公里,1.6T,自动,19.53万,9.98万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,54,4475/1850/1660,2670,488,1541,涡轮增压,4缸,177,265,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,脚刹,225/60 R17,225/60 R17,标配,标配,-,标配,标配,标配
郑州,丰田 汉兰达 2018款 2.0T 四驱豪华版 7座 国V,2018,丰田,2.02万公里,2.0T,自动,32.54万,29.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,1,4890/1925/1715,2790,-,2070,涡轮增压,4缸,220,350,汽油,95号,混合喷射,前置四驱,电动助力,麦弗逊式独立悬架,E型多连杆式独立悬架,通风盘式,盘式,脚刹,245/55 R19,245/55 R19,标配,标配,-,标配,标配,标配
